Operon,Length (nt),ID,Elongation Rate (nt/s),Elongation Rate err,Chisq
ansA-pncA,1669,867,12.0256,0.4844,176.63
yejLM,2008,1083,12.0465,0.433472,248.501
fadD-sroD,1730,892,12.1303,0.505448,259.206
ybaE,1701,205,12.1365,2.04184,171.348
hyaABCDEF,5468,465,12.1879,0.953251,313.7
feaB,1500,660,12.2034,0.557507,132.611
uxaCA,2915,1491,12.2112,0.377649,408.421
trmC,2007,1132,12.2797,0.429469,243.691
lldPRD,3619,1693,12.4806,0.356604,441.971
aroF-tyrA,2203,1250,12.5072,0.423545,320.518
ydhS,1605,822,12.5202,0.504294,156.027
acnA,2676,609,12.615,0.882801,435.124
dppABCDF,5842,1661,12.6191,0.299426,738.993
tolB-pal-ybgF,2650,344,12.7139,0.681443,4045.69
aspS,1773,929,12.8008,0.540059,393.448
ansP,1500,703,12.8432,0.566744,126.055
frsA,1245,110,12.8634,1.64801,1.83352
metG,2034,1037,13.0447,0.545556,470.49
asmA,1854,1016,13.0476,0.514611,341.749
yihXY-dtd-yiiD,2886,1804,13.0849,0.313791,545.238
aegA,1980,1194,13.0947,0.442633,253.674
prpBCDE,5911,155,13.1447,0.327409,1021.09
helD,2055,457,13.234,1.42417,351.435
xylAB,2849,1676,13.2696,0.373308,406.837
yhdP,3801,1550,13.2761,0.45205,764.949
yejH,1761,1080,13.2958,0.471284,220.49
yfbS,1833,1120,13.5716,0.480216,263.039
aldA,1440,673,13.5738,0.587564,156.462
yeiR-lpxT,1739,1073,13.5756,0.489701,208.329
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM,12781,1757,13.6925,0.21445,1052.71
metBL,3596,1830,13.6979,0.377148,464.307
yoaD,1599,899,13.7356,0.535034,176.589
degQS,2525,1543,13.7373,0.406924,354.603
mdoGH,4072,493,13.7661,0.711312,428.68
asnS,1401,442,13.7965,0.876373,142.125
mrcA,2553,1586,13.8152,0.406272,355.41
yheSTU,3148,1575,13.8179,0.4501,708.336
yhdT-panF-prmA,2577,1555,13.8196,0.422245,542.848
yobA-yebZY,1605,915,13.8528,0.522393,175.503
ravA-viaA,2942,1740,13.922,0.391001,413.403
gyrA,2628,1097,13.9221,0.649323,734.629
putA,3963,480,13.954,0.574234,331.522
putP,1509,481,14.0012,1.12637,401.961
fumA,1647,788,14.01,0.681629,385.643
ydgA,1509,790,14.0811,0.511969,155.22
clcA,1422,62,14.0991,6.34128,3.12547
pflDC,3142,1836,14.1023,0.384364,440.562
ygiQ,2220,1443,14.1212,0.444107,335.009
yedYZ,1641,974,14.3214,0.538536,197.481
yeeO,1644,986,14.3336,0.534191,196.308
tnaCAB,3049,1733,14.4138,0.419099,437.487
speC,2136,1418,14.4483,0.453459,296.197
dld,1716,1046,14.4919,0.548396,306.697
malEFG,3794,1872,14.5584,0.275859,730.281
tppB,1503,799,14.5955,0.613274,257.593
metH,3684,1863,14.6152,0.40479,670.841
yoaE,1557,900,14.7536,0.581483,199.053
yhbE-obgE,2154,1528,14.8785,0.430187,377.026
parC,2259,1446,14.9302,0.492389,727.365
yhgF,2322,1593,15.0899,0.451199,361.722
pepQ-yigZ-trkH-hemG,3993,1784,15.2498,0.447789,607.584
uvrA,2823,1890,15.2575,0.40441,435.355
znuCB,1538,927,15.3886,0.587597,179.381
folP-glmM,2179,1524,15.4303,0.470059,472.696
narQ,1701,1195,15.4553,0.518572,245.82
yfgCD,1844,1202,15.5332,0.558194,433.733
hybOABCDEFG,6546,1432,15.5622,0.395377,602.434
qseBC,2006,1450,15.5907,0.475796,314.059
prlC-yhiQ,2803,1633,15.6253,0.501445,1089.05
ydcW,1425,695,15.6537,0.697501,131.893
puuA,1419,620,15.7379,0.785286,302.283
adhE,2676,592,15.7851,1.30219,421.712
ompR-envZ,2069,1591,15.8141,0.441613,389.897
yojI,1644,1090,15.8278,0.563267,223.359
kbl-tdh,2232,1698,15.8308,0.440794,477.238
fadH,2019,1483,15.8777,0.482038,313.603
yegH,1584,1015,15.8972,0.582225,198.943
efeOB,2405,483,15.9983,1.42541,318.766
ppc,2652,1838,16.027,0.442903,471.64
argCBH,3223,1840,16.0869,0.476768,681.335
ubiE-yigP-ubiB,3012,1780,16.2266,0.470114,590.406
gyrB,2415,1730,16.2388,0.464109,519.059
aroP,1374,39,16.2482,12.2598,0.836551
rluD-yfiH,1709,1246,16.2562,0.537916,263.481
cyaA,2547,1764,16.3159,0.446097,448.893
yhfK,2103,1579,16.3202,0.485544,390.494
purMN,1676,1205,16.3678,0.551752,246.584
hemCDXY,4081,1763,16.3865,0.452196,819.825
nudC-hemE-nfi,2559,1854,16.3908,0.449484,475.327
yejABEF,5526,1076,16.4157,0.741776,1112.59
yrfF,2136,1588,16.4185,0.492723,394.2
ygeV,1779,1373,16.5027,0.508391,291.591
gss,1860,1430,16.5289,0.505989,303.176
sgrST-setA,1433,27,16.5416,13.9633,0.203737
yeaJ,1491,877,16.566,0.661648,174.528
zntA,2199,1617,16.5932,0.460204,379.666
polA,2787,1789,16.599,0.482686,603.947
metE,2262,1776,16.6739,0.458986,401.773
tktA,1992,1405,16.7521,0.552112,587.795
bamB-der,2769,1211,16.8048,0.806406,969.392
fadBA,3363,1783,16.9156,0.54421,536.945
plsB,2424,1876,16.991,0.454878,434.208
relA-mazEF,2896,1325,17.1015,0.751041,856.776
recN,1662,1257,17.2327,0.562136,271.866
sfsA-dksA,1338,56,17.2724,3.60303,23.9134
zwf,1476,921,17.298,0.655704,192.274
uxuAB,2726,2010,17.3008,0.468509,750.531
rtn,1557,1075,17.3023,0.616925,214.136
fadIJ,3455,1137,17.3101,1.01037,896.101
accBC,1831,1554,17.3404,0.469865,710.777
yhjG,2076,1649,17.3475,0.508539,469.91
mdtM-yjiN,2554,2016,17.3569,0.447815,474.166
pykA,1443,923,17.5314,0.620879,1101.19
priA,2199,1826,17.5385,0.477458,406.72
malS,2031,1678,17.5455,0.497605,370.353
rimO,1326,394,17.5614,1.12885,45.3598
ivbL-ilvBN,2187,1720,17.6551,0.517139,595.838
ytfQRT-yjfF,4617,1964,17.7216,0.437128,1305.18
katG,2181,1832,17.7493,0.477902,451.077
tig,1299,198,17.7564,2.40938,110.113
csrD,1941,1552,17.7771,0.536153,467.758
uvrD,2163,1766,17.8299,0.504874,517.976
adiA,2268,1912,17.8414,0.474639,433.183
ydiU,1437,840,17.9428,0.724861,156.456
ycbB,1848,438,18.0243,1.54845,295.167
ydcR,1407,693,18.0295,0.81871,124.37
