Operon,Length (nt),ID,Elongation Rate (nt/s),Elongation Rate err,Chisq
kup,1869,1741,30.0364,0.830773,419.981
pykF,1413,824,30.0368,1.25371,180.962
lexA-dinF,2007,1878,30.0388,0.808905,445.893
gshA,1557,1297,30.8654,1.00273,273.324
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,5532,1567,31.2848,0.207446,7145.08
hslVU,1872,1824,31.5782,0.863523,399.119
pldB-yigL,1831,1775,31.647,0.872556,395.926
sbcB,1428,1003,31.8515,1.17342,205.809
typA,1824,1796,32.1077,0.861856,495.943
recQ,1830,1772,32.1979,0.893474,404.298
ydjN,1392,853,32.5398,1.30111,165.989
cpdB,1944,1955,32.6077,0.858161,442.993
yicH,1710,1708,33.2855,0.940546,391.355
eptB,1692,1663,33.3228,0.952358,372.12
gltA,1284,338,33.5228,2.13261,50.1442
rpoZ-spoT-trmH-recG,5186,1705,33.7413,1.02829,1323.17
yijP,1734,1837,33.7975,0.890639,513.813
mdtK,1374,818,34.1533,1.3899,154.649
puuDR,1349,621,34.2618,1.61036,115.065
yciK-btuR,1346,603,34.2873,1.63479,105.08
ycdXY,1316,489,34.4531,1.83419,75.9479
pck,1623,1590,35.2154,1.01945,351.325
gnd,1407,1011,37.0028,1.36698,225.862
ybhC,1284,361,37.2471,2.44504,77.7508
serS,1293,424,37.3716,2.22124,132.381
ndh,1305,518,38.5454,1.96545,86.5207
pgi,1650,1869,39.8648,1.06801,416.465
sdaA,1365,898,40.0875,1.57628,172.713
mltD,1359,90,40.7389,16.3953,28.4838
eptA,1644,1909,40.8532,1.05312,525.626
gltX,1416,1168,40.9599,1.42764,226.971
yjbB,1632,1864,41.2658,1.11036,423.543
bglA,1440,1393,41.2721,1.29726,291.286
pitA,1500,1629,41.6468,1.19784,362.874
yjjK,1668,2040,42.206,1.0858,484.726
yhjJ,1497,1652,42.8953,1.22701,371.361
def-fmt,1472,1563,43.1415,1.28279,364.028
rfaE,1434,1466,44.9929,1.36464,396.82
ilvC,1476,1749,46.1257,1.26899,397.2
ubiD,1494,1781,46.3061,1.2656,402.757
dacB,1434,1527,46.3184,1.37184,341.533
tldD,1446,1549,46.5864,1.44578,328.251
mscM,1248,277,46.6865,3.54872,27.4849
prfC,1590,2035,46.7455,1.20356,469.337
gpp,1485,1753,46.934,1.3195,426.2
lysU,1518,1918,47.0741,1.26007,423.634
proP,1503,1908,47.3904,1.24035,468.418
plaP,1359,1005,47.469,1.74162,202.092
yegQ,1362,1026,47.512,1.71908,217.931
pepA,1512,1983,48.9511,1.27923,461.421
artPIQM,2869,410,48.9691,7.7545,375.972
holD-rimI-yjjG,1521,2034,49.1977,1.26195,462.997
rpsB-tsf,1997,69,50.2701,13.6514,373.91
yegD,1353,1019,50.7897,1.842,213.223
rhoL-rho,1446,1756,50.8176,1.42886,416.252
ftsP,1413,1444,50.9301,1.57438,301.218
gdhA,1344,864,51.6682,2.04597,166.845
rseP,1353,75,52.3126,41.0867,32.6419
galP,1395,1409,53.4042,1.66715,298.274
yqjCDEK,1408,1495,53.7538,1.62484,320.746
rpsF-priB-rpsR-rplI,1440,1947,56.2163,1.46429,515.96
ygdH,1365,1331,57.2776,1.82997,285.674
aspA,1437,1923,57.7245,1.53772,432.723
ffh,1362,1252,57.9818,1.92156,253.668
rne,3186,511,58.8755,11.3359,442.89
pssA,1356,1245,61.0361,2.03038,256.567
yebA,1323,925,62.6261,2.41968,189.606
dnaB,1416,1885,64.1678,1.72639,412.547
fadL,1347,1139,64.1777,2.23992,230.099
trkA,1377,1565,64.3382,1.94922,347.111
kefA,3363,219,64.8426,14.8936,211.098
