Operon,Length (nt),ID,Elongation Rate (nt/s),Elongation Rate err,Chisq
frmRAB,2347,161,3.04517,0.328989,25.579
thrLABC,4831,1,4,0.0138094,2431.28
nagE,1947,322,5.29109,0.339355,41.3252
ushA,1653,229,5.59934,0.464435,29.8764
uvrB,2022,365,6.57425,0.424448,72.8975
yafDE,1428,89,6.57447,1.24994,12.1255
clpA,2277,416,6.75729,0.402255,87.5337
pepD,1458,108,6.94139,1.33911,24.1603
flgK,2609,510,7.01856,0.381729,90.2388
asnB,1665,319,7.31169,0.504623,55.9988
purEK,1574,245,7.31704,0.623009,47.0863
moeAB,1985,391,7.40601,0.455774,84.5672
ampG,1476,195,7.51374,0.71171,32.856
pqiAB,2899,449,7.65812,0.341793,150.858
malZ,1818,186,7.83233,1.19783,99.6536
acnA,2676,609,8.16142,0.401267,150.531
hflD-purB,2016,528,8.22446,0.377615,100.445
cydAB,2724,342,8.58004,0.841698,197.111
ycaO,1761,432,8.59198,0.482469,70.2092
thiI,1449,192,8.61004,0.761902,51.3875
glnS,1665,323,8.7973,0.573668,102.119
lolA-rarA,1969,423,8.79827,0.492935,133.702
hinT-ycfL-lpoB-thiK-nagZ-ycfP,3801,517,8.88289,0.42415,288.089
ydbK,3525,656,9.00314,0.444023,211
ybjL,1686,404,9.4846,0.598029,116.093
tilS,1299,80,9.6185,2.2187,5.68638
ycbZ,1761,453,9.73396,0.524303,91.8222
ybiT,1593,387,9.85834,0.533248,65.7046
dinG,2151,371,9.99611,0.806905,163.041
mntR-ybiR,1583,385,10.2036,0.641731,76.0991
adhE,2676,592,10.6173,0.580604,222.183
hemL,1281,61,10.721,4.91641,6.01234
miaB,1425,317,10.738,0.721313,40.399
yajR,1365,194,10.7579,1.06389,43.4567
degP,1425,65,10.8286,4.24783,53.492
gmr,1986,613,11.3207,0.5502,152.04
pps,2379,836,11.3649,0.454718,205.947
manXYZ,2699,901,11.3753,0.442433,206.175
cysS,1386,247,11.5079,0.976719,53.3554
pheP,1377,276,11.526,0.804969,30.0655
dcp,2046,748,11.5294,0.493656,144.529
clcA,1422,62,11.6448,4.79878,4.71217
ydcP,1962,690,11.654,0.520768,131.122
topA,2598,606,11.7232,0.443076,225.647
pabC-yceG-tmk-holB-ycfH,4275,514,11.851,0.533351,287.66
cvrA,1737,562,11.9873,0.652248,211.745
putP,1509,481,12.3354,0.66882,89.2103
pepN,2613,444,12.3929,0.969522,287.553
yncD,2103,701,12.5622,0.462179,170.851
dadAX,2379,561,12.8953,0.758536,235.593
ybaL,1677,227,13.0156,1.65149,107.748
oppABCDF,5587,594,13.0693,0.51101,291.026
betT,2034,143,13.3798,3.39797,88.0029
gyrA,2628,1097,13.5481,0.436491,347.486
bamB-der,2769,1211,14.0654,0.351469,355.101
murJ,1536,508,14.1259,0.807425,154.614
nhaB,1542,558,14.1328,0.705734,120.154
maeA,1698,718,14.2347,0.622855,143.301
mppA,1614,630,14.2542,0.661813,111.933
yecN-cmoAB,2148,931,14.694,0.564931,229.027
proS,1719,84,14.7598,1.91682,40.0403
mdoD,1656,681,14.7846,0.669595,133.712
dnaX,1932,222,14.798,1.37166,121.61
rcsC,2802,1094,14.9866,0.531047,323.403
ppk-ppx,3613,1206,15.0254,0.494954,346.198
pabB-nudL,1944,897,15.0581,0.581898,183.423
bglX,2298,1045,15.0844,0.554775,270.639
mfd,3447,522,15.1886,0.790511,331.417
rstAB,2034,787,15.2093,0.633953,216.84
yoaA,1911,893,15.6164,0.607023,192.229
mlaFEDCB,3103,1533,15.7666,0.372603,548.593
metG,2034,1037,15.9857,0.567578,227.404
ptsG,1434,515,16.0522,0.828566,87.0254
sppA,1857,866,16.1961,0.658748,223.398
emrRAB,3385,1294,16.5034,0.580146,564.779
relA-mazEF,2896,1325,16.6235,0.524977,331.127
maeB,2280,1191,16.7412,0.564032,258.628
aspS,1773,929,16.8677,0.627778,185.793
rpsMKD-rpoA-rplQ,2856,1566,16.911,0.306084,2160.74
fadD-sroD,1730,892,16.9648,0.658582,188.826
fumA,1647,788,17.098,0.707961,148.458
asnS,1401,442,17.1059,0.977352,71.4309
proVWX,3310,1291,17.3749,0.588724,421.589
guaBA,3113,1210,17.3876,0.540743,425.369
yejLM,2008,1083,17.5058,0.590351,231.636
ppiD,1872,201,17.633,1.7591,116.907
aroF-tyrA,2203,1250,17.7776,0.575974,276.505
flgBCDEFGHIJ,7295,509,17.8746,0.203363,1365.63
ansP,1500,703,17.9104,0.780726,133.096
argS,1734,935,17.9212,0.683988,192.764
rhlE,1365,369,17.9619,1.1532,62.9728
ansA-pncA,1669,867,18.3025,0.738831,207.171
hepA,2907,21,18.5008,1.47609,95.633
asmA,1854,1016,18.5169,0.679513,236.173
rnb,1935,614,18.5488,1.18267,307.35
alaS,2631,1300,18.6512,0.55953,440.34
gsk,1305,226,18.6812,1.55732,21.1279
nudF-yqiB-cpdA-yqiA-parE,4407,1454,18.7141,0.520583,433.198
sdaCB,2715,1332,18.723,0.560389,352.531
lldPRD,3619,1693,18.7575,0.493456,383.794
rpoBC,8329,1849,19.0633,0.197529,1958.63
upp-uraA,2002,1204,19.3886,0.65391,262.717
hybOABCDEFG,6546,1432,19.6366,0.409465,665.564
yeiR-lpxT,1739,1073,19.7086,0.686759,230.683
yheSTU,3148,1575,19.7698,0.589248,434.908
ygiQ,2220,1443,20.0095,0.582289,388.915
yifL-dapF-yigA-xerC-yigB,3378,1765,20.1037,0.535053,472.106
ydgA,1509,790,20.1426,0.850068,147.849
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM,12781,1757,20.1445,0.189334,868.647
yhdT-panF-prmA,2577,1555,20.1852,0.583224,379.351
putA,3963,480,20.2914,2.32726,399.089
efeOB,2405,483,20.3797,1.93397,374.03
dld,1716,1046,20.412,0.744231,236.145
smtA-mukFEB,7250,437,20.5727,0.453387,385.287
yobA-yebZY,1605,915,20.5822,0.782988,191.746
tppB,1503,799,20.6039,0.8569,195.309
degQS,2525,1543,20.6203,0.60494,348.391
malK-lamB-malM,3691,1873,20.6248,0.521307,440.63
frsA,1245,110,20.6333,2.7773,6.38213
yfgCD,1844,1202,20.686,0.669865,344.078
proBA,2369,113,20.7168,2.86793,94.5102
puuA,1419,620,20.7464,0.970406,106.071
rlmL-uup,4028,448,20.8309,0.832486,315.582
malEFG,3794,1872,20.8899,0.550176,433.578
prlC-yhiQ,2803,1633,21.1817,0.632051,449.527
parC,2259,1446,21.2118,0.647557,403.493
metBL,3596,1830,21.2625,0.582,525.158
metH,3684,1863,21.3013,0.547683,483.203
argCBH,3223,1840,21.4389,0.498412,484.246
yhgF,2322,1593,21.6315,0.611745,374.896
yaeQJ-nlpE,1689,82,21.8122,9.33835,28.5374
hemCDXY,4081,1763,21.8598,0.607312,633.376
yihXY-dtd-yiiD,2886,1804,21.9669,0.605081,453.153
polA,2787,1789,22.1971,0.600058,422.305
pepQ-yigZ-trkH-hemG,3993,1784,22.2053,0.635488,571.754
mdoGH,4072,493,22.2159,1.17474,385.356
treBC,3127,1970,22.2726,0.521924,533.147
rppH-ptsP,2790,1344,22.4183,0.825525,610.555
ygfB-pepP-ubiH-visC,4330,1395,22.4252,0.786961,674.911
znuCB,1538,927,22.4726,0.868144,190.527
yhbE-obgE,2154,1528,22.6643,0.666621,385.53
folP-glmM,2179,1524,22.9973,0.700116,637.488
lolCDE,3138,524,23.182,1.42018,371.311
tktA,1992,1405,23.3263,0.740354,407.092
ubiE-yigP-ubiB,3012,1780,23.37,0.654,567.931
mrcA,2553,1586,23.4103,0.740285,559.913
yegH,1584,1015,23.5487,0.862226,204.033
gyrB,2415,1730,23.9702,0.675608,389.669
kbl-tdh,2232,1698,24.0766,0.676307,381.84
ppc,2652,1838,24.1103,0.657557,447.076
ompR-envZ,2069,1591,24.1266,0.6995,347.042
mgtA,2891,1972,24.1818,0.603756,497.287
lpdA,1425,41,24.206,6.26046,0.9871
nudC-hemE-nfi,2559,1854,24.2544,0.649085,434.269
yojI,1644,1090,24.3355,0.863054,242.631
mqo,1647,1089,24.3617,0.881201,467.325
rluD-yfiH,1709,1246,24.404,0.806612,281.101
yrfF,2136,1588,24.5197,0.727589,429.125
purMN,1676,1205,24.546,0.819835,257.215
yhfK,2103,1579,24.6534,0.735286,397.946
gss,1860,1430,24.7772,0.758079,308.818
metE,2262,1776,24.905,0.68162,411.741
htpG,1875,224,24.9066,4.33067,173.859
plsB,2424,1876,25.159,0.66399,423.739
zwf,1476,921,25.185,0.984348,216.734
cyaA,2547,1764,25.2205,0.7008,501.517
ydiU,1437,840,25.4613,1.02389,156.509
secMA-mutT,3729,34,25.529,1.73407,46.176
rimO,1326,394,25.7669,1.48145,66.0398
uvrD,2163,1766,25.8243,0.709086,390.313
katG,2181,1832,26.3849,0.711681,414.031
tig,1299,198,26.7784,3.25136,57.8106
pykA,1443,923,26.9363,1.04388,176.666
rsmF,1440,911,26.9896,1.03903,190.797
mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17381,32,27.0963,0.255428,794.294
amn,1455,983,27.1175,1.00581,200.072
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,27.23,0.262575,979.275
rep,2022,1752,27.5186,0.766938,474.888
rsmE-gshB,1695,1412,27.6255,0.847463,340.621
tolC-ygiABC,3467,1455,27.7082,1.01689,907.594
tolB-pal-ybgF,2650,344,27.8328,4.32173,1296.79
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,4957,1568,27.8336,0.698992,2311.95
accBC,1831,1554,28.0197,0.826312,395.617
ftsK,3990,422,28.0273,1.6755,394.527
flhBAE,3612,937,28.2338,1.3159,596.917
ybgC-tolQRA,2856,343,28.3301,2.07862,371.245
mdoB,2292,2028,28.5522,0.72577,474.312
csdAE,1649,1338,28.5849,0.901892,282.75
lptFG,2183,1984,28.9364,0.752001,465.407
lysP,1470,1061,29.5181,1.06488,216.986
brnQ-proY,2769,185,29.5286,4.90012,144.936
murB-birA,1991,1845,30.0282,0.815468,424.621
