Operon,Length (nt),ID,Bin #,Posi,Posi_err,Lifetime,Lifetime_err,Chisq
thrLABC,4831,1,0,3.64717,0.244825,5.33644,0.249168,200.553
thrLABC,4831,1,1,1.3108,0.176588,3.8922,0.187089,91.0394
thrLABC,4831,1,2,1.34714,0.174532,3.51355,0.183596,60.5417
thrLABC,4831,1,3,1.50588,0.234604,3.86783,0.221709,38.2277
thrLABC,4831,1,4,-0.0899629,0.163288,4.58354,0.173264,55.9804
thrLABC,4831,1,5,-0.876029,0.198449,4.46423,0.187116,70.8278
thrLABC,4831,1,6,-1.121,0.203026,4.89451,0.193022,49.1961
thrLABC,4831,1,7,0.0715265,0.164315,4.52066,0.153992,54.7418
thrLABC,4831,1,8,0.296386,0.132535,4.61246,0.138221,21.496
thrLABC,4831,1,9,0.502331,0.178982,5.11364,0.189577,21.5352
thrLABC,4831,1,10,0.595781,0.144887,4.49975,0.150033,26.9628
thrLABC,4831,1,11,1.22571,0.169427,4.92305,0.1771,31.0704
thrLABC,4831,1,12,1.28783,0.139931,4.74781,0.140249,44.5307
thrLABC,4831,1,13,0.363108,0.132798,5.05611,0.13843,88.8794
thrLABC,4831,1,14,0.15505,0.144918,5.45889,0.153469,86.6035
thrLABC,4831,1,15,2.01231,0.252453,5.5145,0.237089,22.6376
yaaA,777,3,0,1.99297,0.214743,4.02482,0.213928,60.5803
yaaA,777,3,1,2.83906,0.316523,4.47196,0.308666,113.683
yaaJ,1431,4,0,0.903032,0.185431,2.0208,0.191385,90.9182
yaaJ,1431,4,1,0.99847,0.527362,2.10976,0.527246,50.4083
yaaJ,1431,4,2,1.02144,0.509485,3.10972,0.507288,71.0768
yaaJ,1431,4,3,0.912189,0.310404,2.82697,0.332116,52.3226
talB,954,5,0,0.266276,0.0717407,5.99279,0.0839125,226.238
talB,954,5,1,0.499282,0.0707018,6.07986,0.0840053,165.979
talB,954,5,2,0.358747,0.0899504,6.72456,0.109389,103.158
mog,588,6,0,0.267818,0.193517,5.7906,0.22471,39.7884
yaaH,567,7,0,-0.473496,0.334298,9.0264,0.477073,53.4404
yaaI,405,8,0,0.645514,0.564147,4.03995,0.631347,20.0494
rihC,915,12,0,0.686334,0.243926,7.73023,0.309102,64.5016
rihC,915,12,1,0.583926,0.394712,7.94819,0.506711,22.1522
rihC,915,12,2,1.12166,0.489395,8.87336,0.645475,19.1399
dapB,822,13,0,0.502648,0.254484,4.91101,0.273585,45.9167
dapB,822,13,1,1.17197,0.18022,4.27157,0.176479,32.3094
caiF,396,14,0,1.64557,0.348787,3.87712,0.338566,17.807
kefFC,2386,17,0,1.06164,0.276647,3.74445,0.273262,39.7075
kefFC,2386,17,1,1.99849,0.29988,3.993,0.305374,77.7291
kefFC,2386,17,2,1.99649,0.369702,4.62262,0.335702,97.4371
kefFC,2386,17,3,1.61941,0.513771,5.31264,0.548137,108.445
kefFC,2386,17,4,1.79464,0.301338,4.00294,0.306072,69.2664
kefFC,2386,17,5,1.75349,0.334887,4.19903,0.350316,48.2601
kefFC,2386,17,6,1.99858,0.251178,3.78865,0.256439,19.3802
folA,480,18,0,2.04257,0.137278,4.04681,0.115408,134.614
djlA,816,19,0,0.502232,0.248861,3.69631,0.258679,40.0553
djlA,816,19,1,1.21769,0.233099,3.61162,0.238793,69.0654
hepA,2907,21,0,0.604309,0.337993,4.44761,0.371961,28.5848
hepA,2907,21,1,2.46099,0.48183,4.60034,0.445195,60.7302
hepA,2907,21,2,1.34274,0.360286,4.23219,0.383891,53.0137
hepA,2907,21,3,1.52011,0.538561,6.05441,0.593486,45.081
hepA,2907,21,4,1.1412,0.335335,4.2027,0.356276,29.7106
hepA,2907,21,5,0.208085,0.252043,4.20442,0.249943,31.2377
hepA,2907,21,6,-1.20446,0.339081,5.60592,0.343991,43.4373
hepA,2907,21,7,-0.420694,0.343776,5.65878,0.376042,32.9244
hepA,2907,21,8,-1.04283,0.288115,5.24042,0.280215,31.3313
polB,2352,22,0,-0.140199,0.200169,2.85896,0.204842,83.8062
polB,2352,22,1,0.525236,0.35974,3.2995,0.367606,57.387
polB,2352,22,2,2.00044,0.456119,1.21858,0.353793,33.3766
polB,2352,22,3,1.03151,0.519244,2.65347,0.535057,15.9816
polB,2352,22,4,1.41829,0.340751,3.40901,0.352753,21.6354
polB,2352,22,5,1.49048,0.491104,4.45102,0.523354,31.3783
polB,2352,22,6,1.4174,0.692505,4.35974,0.755732,34.5438
araC,879,24,0,0.13074,0.101941,3.95243,0.102632,61.2519
araC,879,24,1,0.488114,0.116441,4.00245,0.125166,62.6877
yabI,765,25,0,-0.666752,0.221913,4.58667,0.227838,82.5884
yabI,765,25,1,0.490034,0.26451,4.91487,0.303394,50.7716
sgrST-setA,1433,27,0,-10,0.94287,16.8612,1.12301,935.961
sgrST-setA,1433,27,1,0.418907,0.390457,4.10123,0.442142,44.2203
sgrST-setA,1433,27,2,0.542446,0.26351,4.25198,0.276686,52.1356
sgrST-setA,1433,27,3,0.998081,0.333341,4.20629,0.374509,36.3345
ilvIH,2219,29,0,0.993637,0.519086,5.37518,0.551656,53.8539
ilvIH,2219,29,1,1.95106,0.594736,5.26302,0.6199,39.0723
ilvIH,2219,29,2,2.8209,0.711123,5.85486,0.733649,45.1024
ilvIH,2219,29,3,2.27713,0.568942,5.15305,0.540266,20.6206
ilvIH,2219,29,4,2.28636,0.539425,4.7089,0.481912,15.9872
ilvIH,2219,29,5,1.9941,0.466401,4.82495,0.45982,29.6648
ilvIH,2219,29,6,-0.211422,0.396491,5.97712,0.448972,26.006
fruR,1005,30,0,0.42727,0.0642632,3.88088,0.0660278,112.254
fruR,1005,30,1,0.758352,0.095567,3.79491,0.0955893,98.7784
fruR,1005,30,2,1.72796,0.142396,3.72726,0.133146,90.0897
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,17841,31,0,0.393692,0.0625377,3.8608,0.0659493,153.916
